date,ticker,percent_gain
2000-01-03,TWX,9.21
2000-01-04,SLR,17.65
2000-01-05,PRD,38.71
2000-01-06,FDX,11.18
2000-01-07,NTAP,23.19
2000-01-11,EHC,10.42
2000-01-13,SCHW,19.12
2000-01-14,CIN,82.84
2000-01-18,CIN,32.73
2000-01-28,EMN,5.79
2000-01-31,PRD,18.52
2000-02-01,PRD,17.86
2000-02-03,CIN,36.0
2000-02-04,CIN,21.02
2000-02-07,CIN,13.46
2000-02-17,PTC,18.53
2000-02-24,ETN,19.43
2000-02-25,ORCL,14.14
2000-02-28,K,10.42
2000-03-09,MOLX,12.0
2000-03-15,CL,18.09
2000-03-16,YUM,18.47
2000-03-17,PRD,19.35
2000-03-20,KMG,14.14
2000-03-21,XRX,12.8
2000-03-29,LPX,14.21
2000-04-03,CIN,11.54
2000-04-04,MOLX,8.5
2000-04-05,NTAP,14.98
2000-04-06,CIN,25.0
2000-04-10,GT,11.76
2000-04-18,NTRS,17.4
2000-04-19,EHC,11.5
2000-04-20,ALL,12.15
2000-04-25,NTAP,20.48
2000-04-26,BOL,9.3
2000-04-27,NTAP,20.65
2000-05-04,FCX,16.47
2000-05-05,UIS,8.01
2000-05-08,PTC,22.96
2000-05-09,SVU,6.34
2000-05-10,TRB,25.0
2000-05-11,WM,13.48
2000-05-15,TROW,14.88
2000-05-16,ADBE,10.14
2000-05-17,BOL,10.81
2000-05-30,QCOM,20.6
2000-06-01,BOL,13.89
2000-06-02,BOL,10.81
2000-06-05,CIN,12.96
2000-06-06,BOL,10.81
2000-06-07,PRD,23.53
2000-06-08,ROH,12.99
2000-06-09,BOL,7.89
2000-06-13,NTAP,10.69
2000-06-15,PRD,20.0
2000-06-16,COP,5.14
2000-06-19,TROW,13.44
2000-06-20,MU,10.96
2000-06-21,BOL,10.81
2000-06-23,BOL,8.75
2000-06-26,CIN,16.95
2000-06-27,FDX,6.86
2000-06-29,ITT,11.16
2000-07-03,AMD,9.42
2000-07-06,HUM,9.3
2000-07-10,JWN,8.29
2000-07-13,MCK,6.5
2000-07-14,PTC,10.93
2000-07-17,BOL,10.81
2000-07-18,BOL,10.81
2000-07-19,BOL,9.04
2000-07-27,UNM,10.34
2000-07-28,FCX,6.82
2000-07-31,CMCSA,8.0
2000-08-03,TER,12.89
2000-08-04,KMG,7.59
2000-08-07,PHM,11.91
2000-08-17,BLS,50.0
2000-08-21,BLS,40.0
2000-08-23,KLAC,8.79
2000-08-24,BOL,10.66
2000-08-25,ADSK,6.24
2000-08-30,WHR,15.15
2000-09-07,NTAP,10.11
2000-09-13,MCK,8.74
2000-09-14,EP,20.0
2000-09-15,ABT,10.19
2000-09-27,MAT,15.29
2000-10-02,CAT,10.48
2000-10-03,BOL,12.5
2000-10-10,APA,9.48
2000-10-16,NTAP,9.48
2000-10-17,BOL,8.7
2000-10-18,TWX,17.28
2000-10-19,VFC,14.44
2000-10-23,A,9.66
2000-10-30,R,14.02
2000-11-02,KMG,9.37
2000-11-03,XRX,10.14
2000-11-06,BOL,9.09
2000-11-07,CIN,10.0
2000-11-08,CIN,10.0
2000-11-17,OI,11.11
2000-11-20,CCK,12.5
2000-11-22,AES,10.84
2000-11-24,TER,10.79
2000-11-27,SLR,7.14
2000-11-28,CIN,8.11
2000-11-29,BOL,9.09
2000-12-01,SFA,11.04
2000-12-05,NTAP,30.11
2000-12-08,SLR,22.5
2000-12-11,SLR,28.95
2000-12-12,CIN,10.54
2000-12-14,TRB,16.67
2000-12-15,NBR,8.33
2000-12-18,CIN,12.07
2000-12-22,LPX,14.29
2000-12-29,SLR,12.5
2001-01-02,DDS,9.84
2001-01-05,PCG,12.22
2001-01-08,EIX,21.52
2001-01-09,ADSK,12.74
2001-01-12,XRX,10.62
2001-01-16,EP,13.8
2001-01-22,CIN,13.92
2001-01-26,SANM,11.79
2001-01-29,XRX,13.43
2001-01-30,SEE,10.48
2001-01-31,CSX,6.76
2001-02-07,DRI,7.28
2001-02-09,SFA,7.76
2001-02-15,A,8.35
2001-02-16,MU,6.24
2001-02-20,ODP,5.56
2001-02-26,INTU,11.59
2001-02-27,UVN,16.67
2001-03-01,UVN,44.44
2001-03-02,SLR,12.5
2001-03-08,TLAB,12.15
2001-03-09,SLR,13.64
2001-03-12,SLR,4.0
2001-03-22,JBL,22.22
2001-03-28,XRX,8.13
2001-03-29,FLR,7.58
2001-03-30,CB,7.3
2001-04-02,EP,7.64
2001-04-03,NEM,5.31
2001-04-11,EIX,5.62
2001-04-18,SLR,15.0
2001-04-19,BOL,25.0
2001-04-20,NTAP,8.78
2001-05-02,EP,19.05
2001-05-08,PTC,6.26
2001-05-09,EP,25.0
2001-05-10,NSC,6.44
2001-05-14,PCG,11.43
2001-05-22,CVG,7.32
2001-05-29,EIX,6.09
2001-05-30,BLS,20.0
2001-05-31,EIX,8.08
2001-06-04,CVG,7.84
2001-06-12,SLR,8.33
2001-06-18,CAR,5.32
2001-06-19,UIS,6.11
2001-06-20,PTC,9.82
2001-06-25,BLS,13.33
2001-06-29,TLAB,12.02
2001-07-02,MMM,7.33
2001-07-03,RHI,7.8
2001-07-09,PCAR,9.43
2001-07-10,BOL,8.0
2001-07-11,BOL,8.0
2001-07-12,SANM,9.43
2001-07-23,SFA,8.26
2001-07-27,AES,8.91
2001-07-30,BLS,50.0
2001-07-31,SFA,12.55
2001-08-03,BOL,8.0
2001-08-06,NTAP,3.86
2001-08-07,KMG,8.6
2001-08-10,CVG,8.7
2001-08-16,CMVT,7.35
2001-08-17,ROK,4.09
2001-08-20,SLR,20.0
2001-08-29,KBH,5.03
2001-08-30,BLS,5.0
2001-08-31,VIAV,9.3
2001-09-04,MAT,4.94
2001-09-05,HRB,6.16
2001-09-06,CIEN,5.47
2001-09-07,ADBE,7.79
2001-09-10,TWX,9.24
2001-09-17,LUV,15.56
2001-09-18,MOLX,7.04
2001-09-21,UVN,125.0
2001-09-24,UIS,20.13
2001-09-26,NEM,5.99
2001-10-02,SNA,7.24
2001-10-03,CIEN,28.25
2001-10-04,DVN,7.4
2001-10-10,LPX,13.56
2001-10-11,CIEN,16.07
2001-10-16,PTC,12.75
2001-10-22,BLS,26.67
2001-10-23,BOL,7.75
2001-10-24,UVN,66.67
2001-11-05,LPX,7.97
2001-11-07,CIEN,9.99
2001-11-08,IPG,4.87
2001-11-09,SLR,9.52
2001-11-12,KBH,7.83
2001-11-13,CIN,9.26
2001-11-26,CBE,57.14
2001-11-30,CBE,25.0
2001-12-03,BLS,11.11
2001-12-04,BLS,10.0
2001-12-05,NTAP,11.46
2001-12-06,EP,33.33
2001-12-13,CNC,20.53
2001-12-14,AMD,7.51
2001-12-17,BLS,13.04
2001-12-18,CBE,25.0
2001-12-20,XRX,5.74
2001-12-21,TRB,10.0
2001-12-24,WOR,3.94
2002-01-02,CBE,10.0
2002-01-03,CBE,27.27
2002-01-07,HAL,7.09
2002-01-11,CBE,9.09
2002-01-14,SLR,6.82
2002-01-15,NVDA,4.96
2002-01-17,UIS,5.93
2002-01-18,HUM,5.69
2002-01-28,LPX,7.15
